Num. Id;Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma;ranking
1935;Star Realms Mazo de Mando: La Unificación;3.14;Disponible;Darwin Castle;231373;Ciencia Ficción;Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;2;20 min;;Fácil;Devir;Media;Creación de mazo;Español;7,70731
1936;Donning the Purple: Expansión Votos y Virtud;26.95;Disponible;Petter Schanke Olsen;278416;Historia, Politica;Cooperativo, Solitario, Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3, 4;70 - 90 min;250 x 250 x 50 mm;Medio;MasQueOca;Media;Negociación;Español;7,60321
1937;Donning The Purple;44.99;Disponible;Petter Schanke Olsen;221155;Historia, Politica;Solitario, Para 2, Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3;70 - 90 min;250 x 250 x 50 mm;Medio;MasQueOca;Media;Gestión de recursos, Negociación;Español;7,25598
1938;Dragon Keepers;27;Disponible;Vital Lacerda;175636;Animales, Fantasía;Familiares, Cooperativo;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6;10 - 40 min;;Fácil;;Poca;Colección de sets, Draft, Tienta la suerte;Español;6,73154
1939;Unicornio Destello: Memo Mágico;5.08;Disponible;;;Cuentos;Infantil, Viaje;de 3 a 6 años, de 6 a 8 años, de 8 a 10 años;2, 3, 4;10 min.;;Fácil;Haba;Nula (Sólo instrucciones);Memoria;Español;
1940;Jurassic Park Funkoverse (Español);44.95;Disponible;;;Ciencia Ficción, Dinosaurios, TV/Series/Cine;Ameritrash;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;30 - 60 min;;Fácil;Funko;Poca;Arena;Español;
1941;Barrage;63;Disponible;Simone Luciani;251247;Comercio;Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3, 4;120 min;;Difícil;Maldito Games;Nula (Sólo instrucciones);;Español;8,22355
1942;Barrage: El proyecto Leeghwater;31.5;Disponible;Simone Luciani;263711;Comercio;Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3, 4;120 min;;Difícil;Maldito Games;Alta;;Español;8,32111
1943;Sherlock: Entre tumbas;7.2;Disponible;Alberto Millán;;Detectivesca;Familiares, Cooperativo, Solitario, Experiencia, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6, 7, 8;60 min;;Medio;GDM Games;Alta;Deducción e Investigación;Español;
1944;Tribu de sinvergüenzas;22.45;Disponible;;;Urbano;Fiesta, Viaje;más de 18 años;4, 5, 6, 7, 8, +8;+20 min;;Fácil;;Alta;Preguntas y respuestas;Español;
1945;Catán: La leyenda de los Conquistadores;40.5;Disponible;Klaus Teuber;265141;Medieval;Eurogame;de 10 a 14 años, de 14 a 18 años;3, 4;60 - 120 min;;Medio;Devir;Poca;Conquista de territorio, Gestión de recursos;Español;8,20698
1946;Kaboom Universe;13.5;Disponible;;;Animales;;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años;2, 3, 4, 5, 6;15 - 30 min;;Fácil;;Nula (Sólo instrucciones);Colección de sets;;
1947;Moon Base;24.09;Disponible;Naotaka Shimamoto;;Abstracto;Para 2;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2;30 - 60 min;;Medio;Gen X Games;Nula (Sólo instrucciones);Habilidad;;
1948;Tonari;25.2;Disponible;Bruno Faidutti;;Animales;Familiares;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;30 min;;;Gen X Games;Nula (Sólo instrucciones);;;
1949;Gravity SuperStar;27;Disponible;Julian Allain;254088;Ciencia Ficción, Videojuegos;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;15 - 30 min;;Fácil;2 Tomatoes;Nula (Sólo instrucciones);;;6,82508
1950;Guerra Fronteriza (Frontier Wars);54;Disponible;;254936;;;;2, 3, 4;60 - 120 min;;Medio;Draco Ideas;Alta;Wargame;Español;7,8043
1951;Yukon Airways;44.95;Disponible;Al Leduc;5038716;;Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3, 4;60 - 90 min;;Fácil;Ludonova;Nula (Sólo instrucciones);;;
1952;Lucky Jirafa;7.24;Disponible;;;Animales;Infantil;;2, 3, 4;10 min;;Fácil;Haba;Nula (Sólo instrucciones);;;
1953;¡Fuego!;14.99;Disponible;Friedemann Friese;285554;Ciencia Ficción, Videojuegos;Cooperativo, Solitario;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2;15 min;13 x 13 x 45 mm;Fácil;;Nula (Sólo instrucciones);Creación de mazo;;6,50685
1954;No Game Over: Nientiendo, Play & Greatest Hits y Retro;15.9;Disponible;Valle Pacheco;266736;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;15 - 30 min;135 x 105 x 25 mm;Medio;No game over;Poca;;Español;7,31333
1955;Dixit 3;20.99;Disponible;;;Abstracto;Familiares, Fiesta;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;;30 min;;;Asmodée;;Deducción e Investigación, Gestión de cartas;Español;
1956;¡Pingüinos!;11.95;Disponible;;8203;Animales;Familiares, Infantil, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4;20 minutos;;;Edge Entertainment;;Colección de sets;Español;6,70361
1957;Chef Umami;13.45;Disponible;Andreu Sierro, David Bella;323068;Gastronómica;Familiares, Rápido;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;20 min.;125 x 160 x 40 mm;Medio;Magic Box Games;Poca;Colección de sets;Español;7,76923
1958;Tussie Mussie;13.45;Disponible;Elizabeth Hargrave;257614;Naturaleza;Familiares, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;20 - 30 min.;75 x 110 x 15 mm;Medio;Salt & Pepper Games;Media;Gestión de cartas;Español;7,03598
